"ID";"Image";"Name";"Reference";"Category";"Base price";"Final price";"Quantity";"Status";
"1308";"http://makersupplies.dk/img/p/7/6/2/3/7623.jpg";"Marble Dark - PLA 1.75 - Devil Design";"504";"PLA - 1.75mm";"124.000000";"155";"7";"1";
"291";"http://makersupplies.dk/img/p/2/3/8/3/2383.jpg";"SALE - Drag Chain 18x25mm";"291";"Cable Management";"75.000000";"93.75";"0";"0";
"772";"http://makersupplies.dk/img/p/4/9/9/4/4994.jpg";"CreatBot D600";"772";"CreatBot";"55750.000000";"69687.5";"0";"1";
"1113";"http://makersupplies.dk/img/p/6/8/0/2/6802.jpg";"Piranha CNC 1015 - Silver";"";"Piranha CNC";"12217.700000";"15272.13";"3";"1";
"205";"http://makersupplies.dk/img/p/8/9/6/896.jpg";"PoKeys Adaptor Board 10-10";"205";"Shields & Break out Boards";"138.000000";"172.5";"9";"1";
"577";"http://makersupplies.dk/img/p/4/1/1/3/4113.jpg";"Natural - TPU 1.75 - Devil Design";"577";"TPU - 1.75mm - Flexible Filament";"222.000000";"277.5";"8";"1";
"1052";"http://makersupplies.dk/img/p/6/5/4/6/6546.jpg";"Hi End - 3 Flutes Aluminum Milling Bit - Diamond Coated";"1052";"End Mill";"318.400000";"398";"40";"1";
"519";"http://makersupplies.dk/img/p/3/9/9/9/3999.jpg";"Yellow - PETG 1.75 - Devil Design";"519";"PETG - 1.75mm";"124.000000";"155";"8";"1";
"863";"http://makersupplies.dk/img/p/5/3/1/4/5314.jpg";"Anet ET5 - Pro";"863";"Anet";"3351.200000";"4189";"0";"0";
"1317";"http://makersupplies.dk/img/p/7/6/6/0/7660.jpg";"Separator plate for UK2.5B";"906";"DIN rail terminals";"4.000000";"5";"10";"1";
"303";"http://makersupplies.dk/img/p/2/4/3/3/2433.jpg";"Anodized Aluminum Sheet 330x500mm";"303";"Aluminum ";"103.800000";"129.75";"26";"1";
"798";"http://makersupplies.dk/img/p/5/0/9/6/5096.jpg";"Zortrax M300 Plus";"798";"Zortrax";"21516.000000";"26895";"0";"1";
"1121";"http://makersupplies.dk/img/p/6/8/7/2/6872.jpg";"Signal Yellow - PETG  - 2.85mm";"667";"PETG - 2.85mm";"124.000000";"155";"2";"1";
"215";"http://makersupplies.dk/img/p/9/2/9/929.jpg";"Power Supply - 48V 10A";"215";"Power Supplies";"300.000000";"375";"22";"1";
"585";"http://makersupplies.dk/img/p/4/1/2/9/4129.jpg";"White - PLA 2.85 - Devil Design";"585";"PLA - 2.85mm";"124.000000";"155";"28";"1";
"1060";"http://makersupplies.dk/img/p/6/5/6/1/6561.jpg";"Red - MATT PLA 1.75mm - Devil Design";"1060";"MATT PLA - 1.75mm";"140.000000";"175";"8";"1";
"1401";"http://makersupplies.dk/img/p/8/0/6/2/8062.jpg";"Galaxy Super Blue - PETG 1.75 - Devil Design";"532";"PETG - 1.75mm";"124.000000";"155";"8";"1";
"528";"http://makersupplies.dk/img/p/4/0/1/4/4014.jpg";"PC Gray - PETG 1.75 - Devil Design";"528";"PETG - 1.75mm";"124.000000";"155";"8";"1";
"871";"http://makersupplies.dk/img/p/5/3/4/1/5341.jpg";"MK8 Mellow Brass Nozzle";"871";"Nozzles";"45.000000";"56.25";"78";"1";
"1327";"http://makersupplies.dk/img/p/7/7/0/1/7701.jpg";"2 Flutes Tapered Ball Nose - TiSiN Coated Carbide";"";"Ball Nose";"100.000000";"125";"46";"1";
"314";"http://makersupplies.dk/img/p/2/4/5/1/2451.jpg";"Acorn Digitizing Bundle - License";"314";"Motion Controllers";"2700.000000";"3375";"995";"1";
"810";"http://makersupplies.dk/img/p/5/1/4/7/5147.jpg";"Colored Cast Acrylic - 3mm Sheet - 378x504mm";"810";"Plastic ";"158.400000";"198";"38";"1";
"1265";"http://makersupplies.dk/img/p/7/4/9/3/7493.jpg";"PRIMACREATOR VALUE UV / DLP RESIN - 500 ML - TRANSPARENT RED";"";"Standard Resin";"232.000000";"290";"4";"1";
"229";"http://makersupplies.dk/img/p/1/1/5/4/1154.jpg";"DB25 Female Panel Mount to 26 Pin IDC Ribbon Cable";"229";"Connectors";"35.000000";"43.75";"8";"1";
"593";"http://makersupplies.dk/img/p/4/1/3/7/4137.jpg";"Red - ABS  2.85 - Devil Design";"593";"ABS - 2.85mm";"124.000000";"155";"0";"0";
"1070";"http://makersupplies.dk/img/p/6/5/8/5/6585.jpg";"Prusa MINI Spring Steel Sheet With Smooth Double-sided PEI";"1070";"Prusa";"263.200000";"329";"2";"1";
"536";"http://makersupplies.dk/img/p/4/0/3/0/4030.jpg";"Beige - PETG 1.75 - Devil Design";"536";"PETG - 1.75mm";"124.000000";"155";"6";"1";
"879";"http://makersupplies.dk/img/p/5/3/7/2/5372.jpg";"MGN 9C Block - ST9C";"879";"Sair Linear Guides";"87.400000";"109.25";"35";"1";
"1008";"http://makersupplies.dk/img/p/6/4/1/4/6414.jpg";"CreatBot F1000 - Large format printer";"1008";"CreatBot";"227200.000000";"284000";"0";"1";
"1336";"http://makersupplies.dk/img/p/7/7/3/7/7737.jpg";"Voron 2.4 Mechanical Kit";"";"Voron Printers";"7400.800000";"9251";"0";"0";
"322";"http://makersupplies.dk/img/p/2/4/6/2/2462.jpg";"White Acrylic - 3mm Sheet 378x510mm";"322";"Plastic ";"150.000000";"187.5";"18";"1";
"820";"http://makersupplies.dk/img/p/5/1/8/0/5180.jpg";"Silicone heatbed - 200x200mm  - 24V - 200W";"820";"Heatbed";"255.200000";"319";"0";"1";
"1273";"http://makersupplies.dk/img/p/7/5/0/4/7504.jpg";"WANHAO DUPLICATOR D12/500 - DUAL EXTRUDER - 500*500*500MM";"";"Wanhao";"5676.000000";"7095";"0";"1";
"602";"http://makersupplies.dk/img/p/4/1/5/1/4151.jpg";"Navy Blue - ASA 1.75 - Devil Design";"602";"ASA - 1.75mm";"144.000000";"180";"7";"1";
"1079";"http://makersupplies.dk/img/p/6/6/1/7/6617.jpg";"WhamBam Flexible Build System - 355x275mm";"1079";"WhamBam for Filament";"735.200000";"919";"11";"1";
"544";"http://makersupplies.dk/img/p/4/0/4/7/4047.jpg";"Ruby Red Transparent - PETG 1.75 - Devil Design";"544";"PETG - 1.75mm";"124.000000";"155";"7";"1";
"887";"http://makersupplies.dk/img/p/5/3/9/8/5398.jpg";"MGN 15L Block - ST15L";"887";"Sair Linear Guides";"190.800000";"238.5";"70";"1";
"1208";"http://makersupplies.dk/img/p/7/4/0/3/7403.jpg";"Olive Green - PLA 1.75 - Devil Design";"536";"PLA - 1.75mm";"124.000000";"155";"8";"1";
"673";"http://makersupplies.dk/img/p/4/6/2/2/4622.jpg";"Collet Clip";"673";"E3D Spare Parts";"4.000000";"5";"12";"1";
"1146";"http://makersupplies.dk/img/p/7/0/5/0/7050.jpg";"OpenBuilds Enclosure 510 - Silver";"";"Machine Enclosures";"2040.400000";"2550.5";"12";"1";
"173";"http://makersupplies.dk/img/p/7/8/4/784.jpg";"Makerlink - 60 Angle Tee Nut (2 Pack)";"173";"Makerlink";"23.800000";"29.75";"23";"1";
"610";"http://makersupplies.dk/img/p/4/1/6/6/4166.jpg";"Red - HIPS 1.75 - Devil Design";"610";"HIPS - 1.75mm";"124.000000";"155";"0";"0";
"954";"http://makersupplies.dk/img/p/6/2/1/6/6216.jpg";"makerCARVER: Assembly Service";"954";"makerCARVER";"2000.000000";"2500";"10";"1";
"78";"http://makersupplies.dk/img/p/8/1/3/1/8131.jpg";"GT3 pulley 30";"78";"GT3 Belts and Pulleys";"68.000000";"85";"120";"1";
"420";"http://makersupplies.dk/img/p/8/1/6/0/8160.jpg";"NEMA17 - 0,30Nm - 5mm shaft";"420";"Hybrid Stepper Motor";"158.400000";"198";"95";"1";
